PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33317083","Impaired Cardiorespiratory Fitness and Muscle Strength in Children with Normal-Weight Obesity","Musálek M, Clark CCT, Kokštejn J, Vokounova Š, Hnízdil J, Mess F.","Int J Environ Res Public Health. 2020 Dec 9;17(24):9198. doi: 10.3390/ijerph17249198.","Musálek M","Int J Environ Res Public Health","2020","2020/12/15","PMC7763693","","10.3390/ijerph17249198"
"33315417","Temperament, socioeconomic adversity, and perinatal risk as related to preschoolers' BMI","Martoccio TL, Senehi N, Brophy-Herb HE, Miller AL, Contreras DA, Horodynski MA, Peterson KE, Lumeng JC.","Health Psychol. 2021 Feb;40(2):135-144. doi: 10.1037/hea0001052. Epub 2020 Dec 14.","Martoccio TL","Health Psychol","2021","2020/12/14","","","10.1037/hea0001052"
"33313910","Bi-Directional Associations Between Real-Time Affect and Physical Activity in Weight-Discordant Siblings","Smith KE, Mason TB, O'Connor SM, Wang S, Dzubur E, Crosby RD, Wonderlich SA, Salvy SJ, Feda DM, Roemmich JN.","J Pediatr Psychol. 2021 Apr 16;46(4):443-453. doi: 10.1093/jpepsy/jsaa121.","Smith KE","J Pediatr Psychol","2021","2020/12/14","PMC8056211","","10.1093/jpepsy/jsaa121"
"33308641","The associations of childhood adiposity with menopausal symptoms in women aged 45-49 years: An Australian Cohort Study","He Y, Tian J, Oddy WH, Blizzard L, Dwyer T, Hickey M, Venn AJ.","Maturitas. 2021 Jan;143:81-88. doi: 10.1016/j.maturitas.2020.09.008. Epub 2020 Oct 1.","He Y","Maturitas","2021","2020/12/14","","","10.1016/j.maturitas.2020.09.008"
"33300876","Puberty Is Associated with a Rising Hemoglobin A1c, Even in Youth with Normal Weight","Kelsey MM, Severn C, Hilkin AM, Pyle L, Nadeau KJ, Zeitler PS.","J Pediatr. 2021 Mar;230:244-247. doi: 10.1016/j.jpeds.2020.10.044. Epub 2020 Oct 24.","Kelsey MM","J Pediatr","2021","2020/12/10","PMC7914158","NIHMS1652562","10.1016/j.jpeds.2020.10.044"
"33297685","Obesity in childhood and adolescence and what we can do with an obese child in a pediatric health care","Boženský J, Procházka B.","Cas Lek Cesk. 2020 Summer;159(3-4):111-117.","Boženský J","Cas Lek Cesk","2020","2020/12/10","","",""
"33297510","A 3-year Longitudinal Study of Pocket Money, Eating Behavior, Weight Status: The Childhood Obesity Study in China Mega-Cities","Ma L, Fang Z, Gao L, Zhao Y, Xue H, Li K, Wang Y.","Int J Environ Res Public Health. 2020 Dec 7;17(23):9139. doi: 10.3390/ijerph17239139.","Ma L","Int J Environ Res Public Health","2020","2020/12/10","PMC7729809","","10.3390/ijerph17239139"
"33293199","When Pandemics Collide: The Impact of COVID-19 on Childhood Obesity","Browne NT, Snethen JA, Greenberg CS, Frenn M, Kilanowski JF, Gance-Cleveland B, Burke PJ, Lewandowski L.","J Pediatr Nurs. 2021 Jan-Feb;56:90-98. doi: 10.1016/j.pedn.2020.11.004. Epub 2020 Nov 11.","Browne NT","J Pediatr Nurs","2021","2020/12/09","PMC7657263","","10.1016/j.pedn.2020.11.004"
"33290583","Less obesity but higher inequalities in Portuguese children: Trends of childhood obesity between 2002-2016","Rodrigues D, Muc M, Machado-Rodrigues AM, Padez C.","Acta Paediatr. 2021 May;110(5):1526-1533. doi: 10.1111/apa.15708. Epub 2020 Dec 18.","Rodrigues D","Acta Paediatr","2021","2020/12/08","","","10.1111/apa.15708"
"33290405","Duration of obesity exposure between ages 10 and 40 years and its relationship with cardiometabolic disease risk factors: A cohort study","Norris T, Cole TJ, Bann D, Hamer M, Hardy R, Li L, Ong KK, Ploubidis GB, Viner R, Johnson W.","PLoS Med. 2020 Dec 8;17(12):e1003387. doi: 10.1371/journal.pmed.1003387. eCollection 2020 Dec.","Norris T","PLoS Med","2020","2020/12/08","PMC7723271","","10.1371/journal.pmed.1003387"
"33284831","Electronic based reported anthropometry-A useful tool for interim monitoring of obesity prevalence in developing states","Gaskin PS, Chami P, Nancoo T, Warner P, Barrett P, Mayers Y.","PLoS One. 2020 Dec 7;15(12):e0243202. doi: 10.1371/journal.pone.0243202. eCollection 2020.","Gaskin PS","PLoS One","2020","2020/12/07","PMC7721176","","10.1371/journal.pone.0243202"
"33276473","Health-Related Factors in Rural and Urban Mexican Adolescents from the State of Jalisco: The HELENA-MEX Study","Rivera-Ochoa M, Brazo-Sayavera J, Vizmanos-Lamotte B, Mañas A, López-Taylor JR, González-Gross M, Guadalupe-Grau A.","Int J Environ Res Public Health. 2020 Dec 2;17(23):8959. doi: 10.3390/ijerph17238959.","Rivera-Ochoa M","Int J Environ Res Public Health","2020","2020/12/05","PMC7729600","","10.3390/ijerph17238959"
"33274504","Physical fitness attenuates the genetic predisposition to obesity in children and adolescents","Todendi PF, Brand C, Silveira JFC, Gaya AR, Agostinis-Sobrinho C, Fiegenbaum M, Burns RD, Valim ARM, Reuter CP.","Scand J Med Sci Sports. 2021 Apr;31(4):894-902. doi: 10.1111/sms.13899. Epub 2020 Dec 11.","Todendi PF","Scand J Med Sci Sports","2021","2020/12/04","","","10.1111/sms.13899"
"33272808","Uric acid, impaired fasting glucose and impaired glucose tolerance in youth with overweight and obesity","Di Bonito P, Valerio G, Licenziati MR, Campana G, Del Giudice EM, Di Sessa A, Morandi A, Maffeis C, Chiesa C, Pacifico L, Baroni MG, Manco M.","Nutr Metab Cardiovasc Dis. 2021 Feb 8;31(2):675-680. doi: 10.1016/j.numecd.2020.10.007. Epub 2020 Oct 13.","Di Bonito P","Nutr Metab Cardiovasc Dis","2021","2020/12/04","","","10.1016/j.numecd.2020.10.007"
"33271891","Effect of Comprehensive Interventions Including Nutrition Education and Physical Activity on High Blood Pressure among Children: Evidence from School-Based Cluster Randomized Control Trial in China","Xu H, Li Y, Shang X, Du S, Zhang Q, Liu A, Ma G.","Int J Environ Res Public Health. 2020 Dec 1;17(23):8944. doi: 10.3390/ijerph17238944.","Xu H","Int J Environ Res Public Health","2020","2020/12/04","PMC7730316","","10.3390/ijerph17238944"
"33266497","Obesity Risk Assessment Tool for Low-Income Spanish Speaking Immigrant Parents with Young Children: Validity with BMI and Biomarkers of Obesity","Townsend MS, Shilts MK, Lanoue L, Drake C, Díaz Rios LK, Styne DM, Keim NL, Ontai L.","Nutrients. 2020 Nov 22;12(11):3582. doi: 10.3390/nu12113582.","Townsend MS","Nutrients","2020","2020/12/03","PMC7700341","","10.3390/nu12113582"
"33266375","Impact of Sugary Food Consumption on Pregnancy: A Review","Casas R, Castro Barquero S, Estruch R.","Nutrients. 2020 Nov 22;12(11):3574. doi: 10.3390/nu12113574.","Casas R","Nutrients","2020","2020/12/03","PMC7700555","","10.3390/nu12113574"
"33271477","A Scoping Review: Family and Child Perspectives of Clinic-Based Obesity Treatment","Roberts KJ, Binns HJ, Vincent C, Koenig MD.","J Pediatr Nurs. 2021 Mar-Apr;57:56-72. doi: 10.1016/j.pedn.2020.10.025. Epub 2020 Nov 30.","Roberts KJ","J Pediatr Nurs","2021","2020/12/03","PMC7946710","NIHMS1655505","10.1016/j.pedn.2020.10.025"
"33270767","Adult attachment styles and mothers' life satisfaction in relation to eating behaviors in the families with overweight and obese children","Pasztak-Opiłka A, de Jonge R, Zachurzok A, Górnik-Durose ME.","PLoS One. 2020 Dec 3;15(12):e0243448. doi: 10.1371/journal.pone.0243448. eCollection 2020.","Pasztak-Opiłka A","PLoS One","2020","2020/12/03","PMC7714109","","10.1371/journal.pone.0243448"
"33270102","Drug-Induced Sleep Endoscopy Findings in Children With Obstructive Sleep Apnea With vs Without Obesity or Down Syndrome","Hyzer JM, Milczuk HA, Macarthur CJ, King EF, Quintanilla-Dieck L, Lam DJ.","JAMA Otolaryngol Head Neck Surg. 2021 Feb 1;147(2):175-181. doi: 10.1001/jamaoto.2020.4548.","Hyzer JM","JAMA Otolaryngol Head Neck Surg","2021","2020/12/03","PMC7716249","","10.1001/jamaoto.2020.4548"
"33264432","Obesity as a Possible Risk Factor for Pediatric Sensorineural Hearing Loss","Bluher A, Kawai K, Wang A, Stiles D, Licameli G.","Laryngoscope. 2021 Jun;131(6):1416-1419. doi: 10.1002/lary.29289. Epub 2020 Dec 2.","Bluher A","Laryngoscope","2021","2020/12/02","","","10.1002/lary.29289"
"33260408","Association between Body Mass Index and Sensory Processing in Childhood: InProS Study","Navarrete-Muñoz EM, Fernández-Pires P, Mubarak-García C, Espinosa-Sempere C, Peral-Gómez P, Juárez-Leal I, Sánchez-Pérez A, Pérez-Vázquez MT, Hurtado-Pomares M, Valera-Gran D.","Nutrients. 2020 Nov 29;12(12):3684. doi: 10.3390/nu12123684.","Navarrete-Muñoz EM","Nutrients","2020","2020/12/02","PMC7761512","","10.3390/nu12123684"
"33258276","A changed research landscape of youth's obesogenic behaviours and environments in the post-COVID-19 era","Jia P.","Obes Rev. 2021 Feb;22 Suppl 1:e13162. doi: 10.1111/obr.13162. Epub 2020 Nov 30.","Jia P","Obes Rev","2021","2020/12/01","PMC7753593","","10.1111/obr.13162"
"33256660","Impact of a community-based pilot intervention to tackle childhood obesity: a 'whole-system approach' case study","Gadsby EW, Hotham S, Eida T, Lawrence C, Merritt R.","BMC Public Health. 2020 Nov 30;20(1):1818. doi: 10.1186/s12889-020-09694-2.","Gadsby EW","BMC Public Health","2020","2020/12/01","PMC7708136","","10.1186/s12889-020-09694-2"
"33253732","Trajectory of Body Mass Index from Ages 2 to 7 Years and Age at Peak Height Velocity in Boys and Girls","Chen LK, Wang G, Bennett WL, Ji Y, Pearson C, Radovick S, Wang X.","J Pediatr. 2021 Mar;230:221-229.e5. doi: 10.1016/j.jpeds.2020.11.047. Epub 2020 Nov 27.","Chen LK","J Pediatr","2021","2020/11/30","PMC7982280","NIHMS1662642","10.1016/j.jpeds.2020.11.047"
"33250860","Editorial: Metabolically Healthy and Unhealthy Obese Children and Adolescents","Chiesa C, Pacifico L, Xi B, Cadenas-Sanchez C.","Front Endocrinol (Lausanne). 2020 Oct 28;11:613703. doi: 10.3389/fendo.2020.613703. eCollection 2020.","Chiesa C","Front Endocrinol (Lausanne)","2020","2020/11/30","PMC7673443","","10.3389/fendo.2020.613703"
"33249790","Sex Differences in Vitamin D Deficiency and Anthropometric Measurements in School-age Children from Rural Areas in Israel","Kassem E, Eilat-Adar S, Sindiani M, Ben-Zaken S.","Isr Med Assoc J. 2020 Nov;11(22):696-699.","Kassem E","Isr Med Assoc J","2020","2020/11/29","","",""
"33238971","Childhood obesity and dental caries: an ecological investigation of the shape and moderators of the association","Ravaghi V, Rezaee A, Pallan M, Morris AJ.","BMC Oral Health. 2020 Nov 25;20(1):338. doi: 10.1186/s12903-020-01329-7.","Ravaghi V","BMC Oral Health","2020","2020/11/26","PMC7690207","","10.1186/s12903-020-01329-7"
"33238936","Can counter-advertising diminish persuasive effects of conventional and pseudo-healthy unhealthy food product advertising on parents?: an experimental study","Dixon H, Scully M, Gascoyne C, Wakefield M.","BMC Public Health. 2020 Nov 25;20(1):1781. doi: 10.1186/s12889-020-09881-1.","Dixon H","BMC Public Health","2020","2020/11/26","PMC7687848","","10.1186/s12889-020-09881-1"
"33233250","Breast-milk derived potential probiotics as strategy for the management of childhood obesity","Oddi S, Huber P, Rocha Faria Duque AL, Vinderola G, Sivieri K.","Food Res Int. 2020 Nov;137:109673. doi: 10.1016/j.foodres.2020.109673. Epub 2020 Sep 17.","Oddi S","Food Res Int","2020","2020/11/25","","","10.1016/j.foodres.2020.109673"
"33230135","Both proliferation and lipogenesis of brown adipocytes contribute to postnatal brown adipose tissue growth in mice","Negron SG, Ercan-Sencicek AG, Freed J, Walters M, Lin Z.","Sci Rep. 2020 Nov 23;10(1):20335. doi: 10.1038/s41598-020-77362-x.","Negron SG","Sci Rep","2020","2020/11/24","PMC7683731","","10.1038/s41598-020-77362-x"
"33229201","Metabolically healthy overweight in young adulthood: is it a matter of duration and degree of overweight?","Craveiro V, Ramos E, Araújo J.","Nutr Metab Cardiovasc Dis. 2021 Feb 8;31(2):455-463. doi: 10.1016/j.numecd.2020.10.001. Epub 2020 Oct 9.","Craveiro V","Nutr Metab Cardiovasc Dis","2021","2020/11/24","","","10.1016/j.numecd.2020.10.001"
"33228624","Associations of outdoor activity and screen time with adiposity: findings from rural Chinese adolescents with relatively low adiposity risks","Zhang Y, Zhang X, Li J, Zhong H, Pan CW.","BMC Public Health. 2020 Nov 23;20(1):1769. doi: 10.1186/s12889-020-09897-7.","Zhang Y","BMC Public Health","2020","2020/11/24","PMC7684968","","10.1186/s12889-020-09897-7"
"33228572","MINISTOP 2.0: a smartphone app integrated in primary child health care to promote healthy diet and physical activity behaviours and prevent obesity in preschool-aged children: protocol for a hybrid design effectiveness-implementation study","Henriksson H, Alexandrou C, Henriksson P, Henström M, Bendtsen M, Thomas K, Müssener U, Nilsen P, Löf M.","BMC Public Health. 2020 Nov 23;20(1):1756. doi: 10.1186/s12889-020-09808-w.","Henriksson H","BMC Public Health","2020","2020/11/24","PMC7687729","","10.1186/s12889-020-09808-w"
"33227006","Increasing secular trends in height and obesity in children with type 1 diabetes: JSGIT cohort","Mochizuki M, Ito Y, Yokomichi H, Kikuchi T, Soneda S, Musha I, Anzou M, Kobayashi K, Matsuo K, Sugihara S, Sasaki N, Matsuura N, Amemiya S; Japanese Study Group of Insulin Therapy for Childhood and Adolescent Diabetes (JSGIT).","PLoS One. 2020 Nov 23;15(11):e0242259. doi: 10.1371/journal.pone.0242259. eCollection 2020.","Mochizuki M","PLoS One","2020","2020/11/23","PMC7682904","","10.1371/journal.pone.0242259"
"33225915","A RE-AIM evaluation of Healthy Together: a family-centred program to support children's healthy weights","Bottorff JL, Huisken A, Hopkins M, Nesmith C.","BMC Public Health. 2020 Nov 23;20(1):1754. doi: 10.1186/s12889-020-09737-8.","Bottorff JL","BMC Public Health","2020","2020/11/23","PMC7681950","","10.1186/s12889-020-09737-8"
"33225807","Effect modification by cardiorespiratory fitness on the association between physical activity and cardiometabolic health in youth: A systematic review","Husøy A, Dalene KE, Steene-Johannessen J, Anderssen SA, Ekelund U, Tarp J.","J Sports Sci. 2021 Apr;39(8):845-853. doi: 10.1080/02640414.2020.1847919. Epub 2020 Nov 22.","Husøy A","J Sports Sci","2021","2020/11/23","","","10.1080/02640414.2020.1847919"
"33225655","Determinants Of Eating Habits And Physical Activity Among Female Students Of Government Schools Of Urban City Of Pakistan","Javaid F, Sheerani NL, Haider S, Anwar F, Azad M, Kumari P, Kanwal S, Kumar R.","J Ayub Med Coll Abbottabad. 2020 Oct-Dec;32(4):517-522.","Javaid F","J Ayub Med Coll Abbottabad","2020","2020/11/23","","",""
"33223402","Long-term burden of higher body mass index from childhood on adult cardiometabolic biomarkers: A 30-year cohort study","Liao YY, Chu C, Wang Y, Zheng WL, Ma Q, Hu JW, Yan Y, Wang KK, Yuan Y, Chen C, Mu JJ.","Nutr Metab Cardiovasc Dis. 2021 Feb 8;31(2):439-447. doi: 10.1016/j.numecd.2020.09.009. Epub 2020 Sep 16.","Liao YY","Nutr Metab Cardiovasc Dis","2021","2020/11/23","","","10.1016/j.numecd.2020.09.009"
"33221380","Identification of a novel leptin receptor (LEPR) variant and proof of functional relevance directing treatment decisions in patients with morbid obesity","Voigtmann F, Wolf P, Landgraf K, Stein R, Kratzsch J, Schmitz S, Abou Jamra R, Blüher M, Meiler J, Beck-Sickinger AG, Kiess W, Körner A.","Metabolism. 2021 Mar;116:154438. doi: 10.1016/j.metabol.2020.154438. Epub 2020 Nov 19.","Voigtmann F","Metabolism","2021","2020/11/22","","","10.1016/j.metabol.2020.154438"
"33216800","Sugar consumption in schoolchildren from southern Spain and influence on the prevalence of obesity","Heras-Gonzalez L, Latorre JA, Martinez-Bebia M, Gimenez-Blasi N, Olea-Serrano F, Mariscal-Arcas M.","PLoS One. 2020 Nov 20;15(11):e0242602. doi: 10.1371/journal.pone.0242602. eCollection 2020.","Heras-Gonzalez L","PLoS One","2020","2020/11/20","PMC7678956","","10.1371/journal.pone.0242602"
"33209162","Coexistence of type 1 and type 2 diabetes mellitus: a case report of ""double"" diabetes in a 17-year-old Nigerian girl","Olamoyegun MA, Ala OA, Ugwu E.","Pan Afr Med J. 2020 Sep 8;37:35. doi: 10.11604/pamj.2020.37.35.25191. eCollection 2020.","Olamoyegun MA","Pan Afr Med J","2020","2020/11/19","PMC7648474","","10.11604/pamj.2020.37.35.25191"
"33208826","High prevalence of undiagnosed comorbidities among adolescents with obesity","Leong KSW, Jayasinghe TN, Wilson BC, Derraik JGB, Albert BB, Chiavaroli V, Svirskis DM, Beck KL, Conlon CA, Jiang Y, Schierding W, Vatanen T, Holland DJ, O'Sullivan JM, Cutfield WS.","Sci Rep. 2020 Nov 18;10(1):20101. doi: 10.1038/s41598-020-76921-6.","Leong KSW","Sci Rep","2020","2020/11/19","PMC7674474","","10.1038/s41598-020-76921-6"
"33203390","Establishing consensus on key public health indicators for the monitoring and evaluating childhood obesity interventions: a Delphi panel study","O'Donnell S, Doyle G, O'Malley G, Browne S, O'Connor J, Mars M, Kechadi MM.","BMC Public Health. 2020 Nov 17;20(1):1733. doi: 10.1186/s12889-020-09814-y.","O'Donnell S","BMC Public Health","2020","2020/11/18","PMC7670696","","10.1186/s12889-020-09814-y"
"33202614","Innovations in Infant Feeding: Future Challenges and Opportunities in Obesity and Cardiometabolic Disease","Alvarez-Pitti J, de Blas A, Lurbe E.","Nutrients. 2020 Nov 14;12(11):3508. doi: 10.3390/nu12113508.","Alvarez-Pitti J","Nutrients","2020","2020/11/18","PMC7697724","","10.3390/nu12113508"
"33198705","Health-related quality of life in children and adolescents with overweight and obesity: results from the German KIGGS survey","Meixner L, Cohrdes C, Schienkiewitz A, Mensink GBM.","BMC Public Health. 2020 Nov 16;20(1):1722. doi: 10.1186/s12889-020-09834-8.","Meixner L","BMC Public Health","2020","2020/11/17","PMC7670618","","10.1186/s12889-020-09834-8"
"33197493","Severe Acute Respiratory Syndrome Coronavirus 2 Clinical Syndromes and Predictors of Disease Severity in Hospitalized Children and Youth","Fernandes DM, Oliveira CR, Guerguis S, Eisenberg R, Choi J, Kim M, Abdelhemid A, Agha R, Agarwal S, Aschner JL, Avner JR, Ballance C, Bock J, Bhavsar SM, Campbell M, Clouser KN, Gesner M, Goldman DL, Hammerschlag MR, Hymes S, Howard A, Jung HJ, Kohlhoff S, Kojaoghlanian T, Lewis R, Nachman S, Naganathan S, Paintsil E, Pall H, Sy S, Wadowski S, Zirinsky E, Cabana MD, Herold BC; Tri-State Pediatric COVID-19 Research Consortium.","J Pediatr. 2021 Mar;230:23-31.e10. doi: 10.1016/j.jpeds.2020.11.016. Epub 2020 Nov 14.","Fernandes DM","J Pediatr","2021","2020/11/16","PMC7666535","","10.1016/j.jpeds.2020.11.016"
"33182783","Fatty Acid Profile of Mature Red Blood Cell Membranes and Dietary Intake as a New Approach to Characterize Children with Overweight and Obesity","Jauregibeitia I, Portune K, Rica I, Tueros I, Velasco O, Grau G, Trebolazabala N, Castaño L, Larocca AV, Ferreri C, Arranz S.","Nutrients. 2020 Nov 10;12(11):3446. doi: 10.3390/nu12113446.","Jauregibeitia I","Nutrients","2020","2020/11/13","PMC7696547","","10.3390/nu12113446"
"33181082","Voluntary agreements with industry: no sweet success","The Lancet Gastroenterology Hepatology.","Lancet Gastroenterol Hepatol. 2020 Dec;5(12):1027. doi: 10.1016/S2468-1253(20)30334-4.","The Lancet Gastroenterology Hepatology","Lancet Gastroenterol Hepatol","2020","2020/11/12","","","10.1016/S2468-1253(20)30334-4"
"33172418","Association between birth weight and risk of abdominal obesity in children and adolescents: a school-based epidemiology survey in China","Yang Z, Dong B, Song Y, Wang X, Dong Y, Gao D, Li Y, Zou Z, Ma J, Arnold L.","BMC Public Health. 2020 Nov 10;20(1):1686. doi: 10.1186/s12889-020-09456-0.","Yang Z","BMC Public Health","2020","2020/11/11","PMC7656713","","10.1186/s12889-020-09456-0"
"33159744","The relationship between childhood obesity with inflammatory mediators","Eren C, Cecen S.","J Pak Med Assoc. 2020 Oct;70(10):1737-1741. doi: 10.5455/JPMA.27772.","Eren C","J Pak Med Assoc","2020","2020/11/07","","","10.5455/JPMA.27772"
"33157072","Birth Size and Rapid Infant Weight Gain-Where Does the Obesity Risk Lie?","Lyons-Reid J, Albert BB, Kenealy T, Cutfield WS.","J Pediatr. 2021 Mar;230:238-243. doi: 10.1016/j.jpeds.2020.10.078. Epub 2020 Nov 4.","Lyons-Reid J","J Pediatr","2021","2020/11/06","","","10.1016/j.jpeds.2020.10.078"
"33156888","Double burden of malnutrition and obesity in children and adolescents from North Korean refugee families","Kim SY, Choi SW.","PLoS One. 2020 Nov 6;15(11):e0241963. doi: 10.1371/journal.pone.0241963. eCollection 2020.","Kim SY","PLoS One","2020","2020/11/06","PMC7647068","","10.1371/journal.pone.0241963"
"33154043","Psychotherapy versus treatment as usual and other control interventions in children and adolescents with overweight and obesity: a protocol for systematic review with meta-analysis and Trial Sequential Analysis","Rashid R, Condon L, Gluud C, Jakobsen JC, Lindschou J, Lissau I.","BMJ Open. 2020 Nov 5;10(11):e036058. doi: 10.1136/bmjopen-2019-036058.","Rashid R","BMJ Open","2020","2020/11/06","PMC7646330","","10.1136/bmjopen-2019-036058"
"33153180","Does Dietary Diversity Reduce the Risk of Obesity? Empirical Evidence from Rural School Children in China","Tao C, Zhao Q, Glauben T, Ren Y.","Int J Environ Res Public Health. 2020 Nov 3;17(21):8122. doi: 10.3390/ijerph17218122.","Tao C","Int J Environ Res Public Health","2020","2020/11/06","PMC7662578","","10.3390/ijerph17218122"
"33152592","Childhood obesity may accelerate timing of human facial growth","Gordon LA, Miller SF, Caplin J, Galang-Boquiren MT, Alrayyes S, Nicholas CL.","Arch Oral Biol. 2021 Jan;121:104964. doi: 10.1016/j.archoralbio.2020.104964. Epub 2020 Oct 29.","Gordon LA","Arch Oral Biol","2021","2020/11/05","","","10.1016/j.archoralbio.2020.104964"
"33148015","A Practical Screening Tool to Predict Early Childhood Obesity Risk: Examining a Birth Cohort","Gannon J, Pollock AJ, Allen DB, Kling PJ.","Clin Pediatr (Phila). 2021 Mar;60(3):178-183. doi: 10.1177/0009922820971006. Epub 2020 Nov 4.","Gannon J","Clin Pediatr (Phila)","2021","2020/11/05","","","10.1177/0009922820971006"
"33138179","Childhood Obesity and its Influence on Sleep Disorders: Kids-Play Study","Sánchez-López AM, Noack-Segovia JP, Núñez-Negrillo AM, Latorre-García J, Aguilar-Cordero MJ.","Int J Environ Res Public Health. 2020 Oct 29;17(21):7948. doi: 10.3390/ijerph17217948.","Sánchez-López AM","Int J Environ Res Public Health","2020","2020/11/03","PMC7663090","","10.3390/ijerph17217948"
"33138037","Is the Perceived Fruit Accessibility Related to Fruit Intakes and Prevalence of Overweight in Disadvantaged Youth: A Cross-Sectional Study","Yang N, Kim K.","Nutrients. 2020 Oct 29;12(11):3324. doi: 10.3390/nu12113324.","Yang N","Nutrients","2020","2020/11/03","PMC7693841","","10.3390/nu12113324"
"33137934","Insulin Resistance in Obese Children: What Can Metabolomics and Adipokine Modelling Contribute?","Rupérez FJ, Martos-Moreno GÁ, Chamoso-Sánchez D, Barbas C, Argente J.","Nutrients. 2020 Oct 29;12(11):3310. doi: 10.3390/nu12113310.","Rupérez FJ","Nutrients","2020","2020/11/03","PMC7692749","","10.3390/nu12113310"
"33126527","Overweight and Obesity in Children of Immigrant Versus Native Parents: Exploring a Local Setting in Portugal","Moreira S, Gonçalves L.","Int J Environ Res Public Health. 2020 Oct 28;17(21):7897. doi: 10.3390/ijerph17217897.","Moreira S","Int J Environ Res Public Health","2020","2020/10/31","PMC7663684","","10.3390/ijerph17217897"
"33126118","Identification of the most appropriate existing anthropometric index for home-based obesity screening in children and adolescents","Ye XF, Dong W, Tan LL, Zhang ZR, Qiu YL, Zhang J.","Public Health. 2020 Dec;189:20-25. doi: 10.1016/j.puhe.2020.09.007. Epub 2020 Oct 27.","Ye XF","Public Health","2020","2020/10/30","","","10.1016/j.puhe.2020.09.007"
"33121841","Which healthy lifestyle habits mitigate the risk of obesity and cardiometabolic risk factors in Caucasian children exposed to in utero adverse gestational factors?","Saidj S, Ruchat SM, Henderson M, Drapeau V, Mathieu ME.","Nutr Metab Cardiovasc Dis. 2021 Jan 4;31(1):286-296. doi: 10.1016/j.numecd.2020.08.008. Epub 2020 Aug 19.","Saidj S","Nutr Metab Cardiovasc Dis","2021","2020/10/30","","","10.1016/j.numecd.2020.08.008"
"33121180","Parental Attitudes to Childhood Overweight: The Multiple Paths through Healthy Eating, Screen Use, and Sleeping Time","Garcia-Conde MG, Marin L, Maya SR, Cuestas PJ.","Int J Environ Res Public Health. 2020 Oct 27;17(21):7885. doi: 10.3390/ijerph17217885.","Garcia-Conde MG","Int J Environ Res Public Health","2020","2020/10/30","PMC7662269","","10.3390/ijerph17217885"
"33121029","Development of RisObIn.Com, a Screening Tool for Risk of Childhood Obesity in the Community","Moreira AC, Almeida Oliveira P, Borrego R, Nogueira T, Ferreira R, Virella D.","Nutrients. 2020 Oct 27;12(11):3288. doi: 10.3390/nu12113288.","Moreira AC","Nutrients","2020","2020/10/30","PMC7692101","","10.3390/nu12113288"
"33119579","Uptake and outcome of a community-based healthy lifestyle intervention for preschoolers identified with obesity: an audit of the Whānau Pakari preschool programme","Cave TL, Wynter LE, Wild CE, Derraik JG, Willing EJ, Hofman PL, Anderson YC.","N Z Med J. 2020 Oct 30;133(1524):135-139.","Cave TL","N Z Med J","2020","2020/10/29","","",""
"33118370","After-School Tutoring, Electronic Device Availability, and Obesity Among Fifth-Grade Students in Ho Chi Minh City, Vietnam","To QG, Do DV, To KG, Gallegos D.","Asia Pac J Public Health. 2021 Jan;33(1):93-99. doi: 10.1177/1010539520968465. Epub 2020 Oct 29.","To QG","Asia Pac J Public Health","2021","2020/10/29","","","10.1177/1010539520968465"
"33117269","Thyroid Stimulating Hormone (TSH) Is Associated With General and Abdominal Obesity: A Cohort Study in School-Aged Girls During Puberty in East China","Wang Y, Dong X, Fu C, Su M, Jiang F, Xu D, Li R, Qian J, Wang N, Chen Y, Jiang Q.","Front Endocrinol (Lausanne). 2020 Sep 30;11:620. doi: 10.3389/fendo.2020.00620. eCollection 2020.","Wang Y","Front Endocrinol (Lausanne)","2020","2020/10/29","PMC7561409","","10.3389/fendo.2020.00620"
"33114707","Activity-Inactivity Patterns, Screen Time, and Physical Activity: The Association with Overweight, Central Obesity and Muscle Strength in Polish Teenagers. Report from the ABC of Healthy Eating Study","Górnicka M, Hamulka J, Wadolowska L, Kowalkowska J, Kostyra E, Tomaszewska M, Czeczelewski J, Bronkowska M.","Int J Environ Res Public Health. 2020 Oct 26;17(21):7842. doi: 10.3390/ijerph17217842.","Górnicka M","Int J Environ Res Public Health","2020","2020/10/29","PMC7662883","","10.3390/ijerph17217842"
"33112275","Pediatric Cushing's syndrome: greater risk of being overweight or obese after long-term remission and its predictive factors","Valdés N, Tirosh A, Keil M, Stratakis CA, Lodish M.","Eur J Endocrinol. 2021 Jan;184(1):179-187. doi: 10.1530/EJE-20-0848.","Valdés N","Eur J Endocrinol","2021","2020/10/28","","","10.1530/EJE-20-0848"
"33109166","A school-based intervention for a better future: study protocol of Sintra Grows Healthy","Ferreira RJ, Nogueira T, Dias da Silva V, Liñan Pinto M, Sousa J, Pereira AM, Nogueira PJ, Borrego R, Raposo A, Martins J, Onofre M, Marques A, Rodrigues A, Quitério A, Pereira A.","BMC Public Health. 2020 Oct 27;20(1):1615. doi: 10.1186/s12889-020-09715-0.","Ferreira RJ","BMC Public Health","2020","2020/10/28","PMC7590451","","10.1186/s12889-020-09715-0"
